epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1009.16,1.44243,2.00322,1.63061,0.55373,0.52033,0.46403,0.20265,1.80721,3.02707,2.18323,0.000661417,0.000661417,0.000661417
2,1937.15,1.51692,1.73216,1.67992,0.48594,0.47154,0.43898,0.17306,2.09738,2.60795,2.73225,0.00126234,0.00126234,0.00126234
3,2871.02,1.50021,1.57485,1.65376,0.51126,0.47967,0.46234,0.15503,2.12553,2.33349,2.50141,0.00179727,0.00179727,0.00179727
4,3813.53,1.52247,1.48217,1.67388,0.67339,0.59079,0.62692,0.30357,1.77655,2.05808,2.07328,0.001703,0.001703,0.001703
5,4705.42,1.46715,1.41016,1.65587,0.77276,0.65433,0.69906,0.36787,1.70496,1.49065,1.9709,0.001604,0.001604,0.001604
6,7072.22,1.4282,1.281,1.58224,0.78585,0.69919,0.72381,0.38,1.59611,1.42126,1.8244,0.001505,0.001505,0.001505
7,8084.82,1.4088,1.21556,1.5555,0.77497,0.74255,0.77544,0.3514,1.81279,1.27799,1.97157,0.001406,0.001406,0.001406
8,72992.9,1.38653,1.17992,1.54117,0.83843,0.74797,0.78882,0.37041,1.64815,1.33157,1.80632,0.001307,0.001307,0.001307
9,73941.9,1.32147,1.10904,1.49648,0.77155,0.79404,0.81254,0.38845,1.68806,1.2332,1.89952,0.001208,0.001208,0.001208
10,75251.5,1.2924,1.07655,1.4786,0.85636,0.74797,0.82892,0.4007,1.68733,1.08866,1.80417,0.001109,0.001109,0.001109
11,76142.9,1.21332,1.00011,1.5286,0.81725,0.77507,0.808,0.43945,1.50936,1.19778,1.76843,0.00101,0.00101,0.00101
12,77018.6,1.16141,0.84568,1.49765,0.82921,0.77629,0.84197,0.48001,1.54256,1.17352,1.73752,0.000911,0.000911,0.000911
13,77900.2,1.13658,0.80722,1.46073,0.93293,0.83198,0.90294,0.50314,1.49764,0.86947,1.68999,0.000812,0.000812,0.000812
14,78774.2,1.10979,0.77442,1.44638,0.842,0.80873,0.85794,0.45921,1.53529,1.02513,1.73215,0.000713,0.000713,0.000713
15,84316.5,1.08229,0.73759,1.41815,0.89531,0.82656,0.88194,0.53427,1.35563,0.89079,1.56181,0.000614,0.000614,0.000614
16,85210,1.04469,0.67973,1.38971,0.92651,0.81994,0.9125,0.53481,1.4376,0.81433,1.63325,0.000515,0.000515,0.000515
17,86100.3,1.01064,0.63629,1.35746,0.88251,0.79386,0.86719,0.51595,1.44168,0.9213,1.65808,0.000416,0.000416,0.000416
18,86972.3,0.98388,0.6132,1.3577,0.87854,0.8645,0.9156,0.54247,1.39806,0.79098,1.5981,0.000317,0.000317,0.000317
19,106783,0.93695,0.57578,1.30041,0.89138,0.84514,0.89904,0.55073,1.40563,0.81709,1.63638,0.000218,0.000218,0.000218
20,107680,0.92318,0.56122,1.30213,0.92207,0.85095,0.90318,0.57148,1.33584,0.77898,1.57445,0.000119,0.000119,0.000119
